Name,Dropdown Name,URL,Legacy/M2M,Type,Zone,Region,State,Methasoft Version
Kissimmee (Mid Florida) - Legacy,Kissimmee (Mid Florida) - Legacy,https://cmg-kis.netalytics-cloud.com/Methasoft.Net.CMG.Kissimmee,Legacy,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Kissimmee (Mid Florida) - M2M,Kissimmee (Mid Florida) - M2M,https://NS-kis.netalytics-cloud.com/Methasoft.Net.NewSeason.MidFlorida,M2M,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Lee County - Legacy,Lee County - Legacy,https://cmg-lee.netalytics-cloud.com/Methasoft.Net.CMG.Lee,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Lee County - M2M,Lee County - M2M,https://NS-lee.netalytics-cloud.com/Methasoft.Net.NewSeason.Lee,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Leesburg - M2M,Leesburg - M2M,https://NS-lees.netalytics-cloud.com/Methasoft.Net.NewSeason.Leesburg,M2M,Live,,,Florida,8.1.3.0
Leon County - Legacy,Leon County - Legacy,https://cmg-leo.netalytics-cloud.com/Methasoft.Net.CMG.LeonCounty,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Leon County - M2M,Leon County - M2M,https://NS-leo.netalytics-cloud.com/Methasoft.Net.NewSeason.LeonCounty,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Manchester - Legacy,Manchester - Legacy,https://cmg-man.netalytics-cloud.com/Methasoft.Net.CMG.Manchester,Legacy,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Manchester - M2M,Manchester - M2M,https://NS-man.netalytics-cloud.com/Methasoft.Net.NewSeason.Manchester,M2M,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Manchester West - Legacy,Manchester West - Legacy,https://cmg-manw.netalytics-cloud.com/Methasoft.Net.CMG.ManchesterWest,Legacy,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Manchester West - M2M,Manchester West - M2M,https://NS-MANW.netalytics-cloud.com/Methasoft.Net.NewSeason.ManchesterWest,M2M,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Mason (Cincinnati North) - Legacy,Mason (Cincinnati North) - Legacy,https://cmg-mas.netalytics-cloud.com/Methasoft.Net.CMG.Mason,Legacy,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Mason (Cincinnati North) - M2M,Mason (Cincinnati North) - M2M,https://NS-mas.netalytics-cloud.com/Methasoft.Net.NewSeason.Mason,M2M,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Mentor - Legacy,Mentor - Legacy,https://CMG-Men.netalytics-cloud.com/Methasoft.Net.CMG.Mentor,Legacy,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Mentor - M2M,Mentor - M2M,https://NS-Men.netalytics-cloud.com/Methasoft.Net.NewSeason.Mentor,M2M,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Meridian - Legacy,Meridian - Legacy,https://cmg-mer.netalytics-cloud.com/Methasoft.Net.CMG.Meridian,Legacy,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Meridian - M2M,Meridian - M2M,https://NS-mer.netalytics-cloud.com/Methasoft.Net.NewSeason.Meridian,M2M,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
